Book Title,Author,Author VIAF Number,Translator,Translator VIAF Number,Publisher,University Press,University_Press_STND,Translator on Cover,Translator_on_Cover_STND,Trans_Pub_Date,Trans_Publication_Country,Language ,Original_Pub_Date,Original_Publication_Country,Author Gender,Author_Gender,Author_Residence,Author_Latitude,Author_Longitude,Translator Gender,Trans_Gender,Trans_Residence,Trans_Latitude,Trans_Longitude,Text_Type,Pages_in_Translation,Pages_in_Paratexts,Paratexts Type,Glossary or Notes,Glossary_or_Notes_STND,No._of_terms_in_Glossary_or_Notes,Examples_Words_in_Glossary_or_Notes,Religious Glossary Terms,Religious_Glossary_Terms_STND (Y/N=1/0),Food Glossary Terms,Food_Glossary_Terms_STND (Y/N=1/0),Clothing Glossary Terms,Clothing_Glossary_Terms_STND (Y/N=1/0),Culture or Customs in Glossary,Culture_or_Customs_in_Glossary_STND (Y/N=1/0),Historical_Figures_in_Glossary_STND (Y/N=1/0),Awards_in_Original,Awards_in_Trans
The Corpse Washer,"Antoon, Sinan",7096578,"Antoon, Sinan",7096578,Yale University Press,Y,1,Y,1,2013,USA,Arabic,2010,Lebanon,M,1,USA,37.09024,-95.712891,M,1,USA,37.09024,-95.712891,Novel,184,,"Book Reviews,   Dedication,   Author's Note,   Introduction,   Author Bio",Y (Notes),1,3,"turba, al-thawra, masguf",turba,1,masguf,1,-,0,al-thawra,1,0,"Arab American Book Prize 2014, Longlisted for the 2014 Independent Foreign Fiction Prize",The Saif Ghobash Banipal Prize for Arabic Literary Translation 2014 
I'jaam,"Antoon, Sinan",7096578,"Johnson, Rebecca C. & Antoon, Sinan","36693910, 7096578",City Lights,N,0,N,0,2007,USA,Arabic,2004,Lebanon,M,1,USA,37.09024,-95.712891,F,0,USA,37.09024,-95.712891,Novel,97,,"Author Bio,   Translator Bio,   Quotation",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Baghdad Eucharist,"Antoon, Sinan",7096578,"Tabet, Maia ",107330618,Hoopoe,Y,1,Y,1,2017,USA,Arabic,2012,Lebanon,M,1,USA,37.09024,-95.712891,F,0,USA,37.09024,-95.712891,Novel,129,,"Contents Page,   Preface,   Acknowledgements,   Footnotes",N,0,-,-,-,0,-,0,-,0,-,0,0,Shortlisted for the 2013 International Prize for Arabic Fiction,-
The Journey,"Ashour, Radwa",74006701,"Hartman, Michelle ",61797730,Interlink,N,0,Y,1,2018,USA,Arabic,1983,Lebanon,F,0,Egypt,26.820553,30.802498,F,0,Canada,56.130366,-106.346771,Novel,145,,"Images,   Footnotes,   Translator's Note,   Translator's Acknowledgements",Y (Notes),1,3,"Julius Lester, WEB Du Bois citation, Shelley poem",-,0,-,0,-,0,Shelley poem,1,1,-,-
Granada ,"Ashour, Radwa ",74006701,"Granara, William ",70938340,Syracuse University Press,Y,1,Y,1,2003,USA,Arabic,1998,Lebanon,F,0,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,229,,"Author's Note,   Translator's Note",Y,1,16,"Abu, dinar, muezzin, Sidi, Umm, vizier","faqeeh, imam, muezzin, Ramadan, shahada, shaykh, ",1,-,0,-,0,"abu, bin, bint, dinar, fatwa, sidi, souk, sultan, umm, vizier",1,0,-,-
The Woman from Tantoura,"Ashour, Radwa ",74006701,"Heikkinen, Kay",159960173,AUC,Y,1,Y,1,2014,Egypt,Arabic,2010,Egypt,F,0,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,362,,"Translator's Acknowledgements,   Dedication,   Note,   Glossary",Y,1,52,"Amal, baccalaureate, dabka, Hittin, jihad, maqlouba, qumbaz","druze, eid, fatiha, hajj, iftar, jihad, jinn, laylat al-qadr, mufti, shahada, shiekh",1,"kubbeh, kunafa, labneh, lukoum, maqlouba, mujaddara, mulukhiya, musakhan",1,"kufiyeh, qumbaz, thawb",1,"ataba, ooof, ahazij, mhaha, mawwal, dabka, fedayeen, lira, madafa, sitt, yalla",1,1,-,-
Siraaj: An Arab Tale,"Ashour, Radwa ",74006701,"Romaine, Barbara ",1720408,UT Austin,Y,1,Y,1,2007,USA,Arabic,1992,Egypt,F,0,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,82,,"Dedication,   Acknowledgements,   Introduction,   Translator's Note,   Glossary,   Notes",Y (+ Notes),1,23 (glossary); 18 (notes),,"muezzin, bismillah al-rahman al-rahim, laa ilaaha 'illa Allah, eid alFitr, eid al'Adha",1,"termis, chufa",1,"abaya, jilbaab",1,"abu, 'amm, umm, bin, sitt/sitti, riyal, zaghrita",1,0,-,-
Specters,"Ashour, Radwa ",74006701,"Romaine, Barbara ",1720408,Interlink,N,0,Y,1,2011,USA,Arabic,1999,Egypt,F,0,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,277,,"Author Bio,   Translator Bio",Y (Notes),1,13 (notes); 4 (glossary),"Mohamed Ezzat El-Bayoumi, Mohammed Abdel Maguid Mursi, Abdel Hakam al-Garrahi, Khaled Abdel Aziz El-Wakkad",-,0,-,0,-,0,-,0,1,-,"2nd place, Saif Ghobash Banipal Prize for Arabic Literary Translation 2011"
Blue Lorries,"Ashour, Radwa ",74006701,"Romaine, Barbara ",1720408,Bloomsbury Qatar,N,0,Y,1,2015,Qatar,Arabic,2008,Egypt,F,0,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,239,,"Contents Page,   Author Bio,   Translator Bio,   Foreword,   Translator's Acknowledgements,   Glossary",N,0,-,-,-,0,-,0,-,0,-,0,0,-, Saif Ghobash Banipal Prize Runner Up (2015)
The Heron,"Aslan, Ibrahim",87459493,"Colla, Elliott ",51141630,AUC,Y,1,Y,1,2005,Egypt,Arabic,1983,Lebanon,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,154,,Translator's Note,Y,1,21,"al-Ahram, Amm, bey, fitir, khawaga, maamur, maallim, sheikh, umm, ustaz","afarit, hagg, mulid, shahada, shiekh",1,"basbusa, fitir, ful",1,gallabiya,1,"al-ahram, amm, bey, biladi, effendi, khawaga, maamur, maassil, maallim, umm, usta, ustaz",1,0,Voted one of the top 100 novels of the past century by the Arab Writers Union,-
Nile Sparrows,"Aslan, Ibrahim",87459493,"El-Ghobashy, Mona ",14161865,AUC,Y,1,N,0,2004,Egypt,Arabic,1998,Lebanon,M,1,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,112,,"Translator's Introduction,   Quotation",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Lina: A Portrait of a Damascene Girl,"Attar, Samar",181130500,"Attar, Samar",7943912,Three Continents ,N,0,Y,1,1994,USA,Arabic,1982,Lebanon,F,0,Australia,-25.274398,133.775136,F,0,Australia,-25.274398,133.775136,Novel,213,,"Dedication,   Author's Acknowledgements,   Contents Page,   Chronology",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Death in Beirut,"Awad, Tawfiq Yousef ",179522253,"McLoughlin, Leslie ",52830786,Heinemann,N,0,N,0,1976,UK,Arabic,1972,Lebanon,M,1,Lebanon,33.854721,35.862285,M,1,UK,55.378051,-3.435973,Novel,185,,"Character List,   Introduction,   Translator's Note,   Map,   Author's Note",Y,1,17,"Abu, Umm, suk/suq, mezze, AUB, maronite","shia, druze, maronite",1,-,0,-,0,"abu, umm, bey/bek, hamra, suk/suq, deir, mukhtar, mezze",1,0,-,-
Death in Beirut,"Awad, Tawfiq Yousef ",179522253,"McLoughlin, Leslie ",52830786,Three Continents ,N,0,N,0,1984,USA,Arabic,1972,Lebanon,M,1,Lebanon,33.854721,35.862285,M,1,UK,55.378051,-3.435973,Novel,190,,"Contents Page,   Character List,   Introduction,   Translator's Note,   Author's Note,   Glossary",Y,1,17,"Abu, Umm, suk/suq, mezze, AUB, maronite","shia, druze, maronite",1,-,0,-,0,"abu, umm, bey/bek, hamra, suk/suq, deir, mukhtar, mezze",1,0,-,-
Sarmada,"Azzam, Fadi",183660502,"Talib, Adam ",107469046,Interlink,N,0,Y,1,2012,USA,Arabic,2011,Lebanon,M,1,UAE,23.424076,53.847818,M,1,UK,55.378051,-3.435973,Novel,216,,"Contents Page,   Author Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,Longlisted for International Prize for Arabic Fiction 2012,-
Ascension to Death,"Azzam, Mamdouh",64248725,"Weiss, Max ",107347284,Haus Publishing,N,0,Y,1,2018,UK,Arabic,2009,Syria,M,1,Syria,34.802075,38.996815,M,1,USA,37.09024,-95.712891,Novel,117,,"Author Bio,   Quotation",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Papa Sartre,"Bader, Ali",66773228,"Bamia, Aida ",44525532,AUC,Y,1,Y,1,2009,Egypt,Arabic,2001,Lebanon,M,1,Belgium,50.503887,4.469936,F,0,USA,37.09024,-95.712891,Novel,178,0,None,N,0,-,-,-,0,-,0,-,0,-,0,0,"State Prize for Literature (Baghdad, 2002)",
The Tobacco Keeper,"Bader, Ali",66773228,"Nowaira, Amira ",33910649,Bloomsbury Qatar,N,0,N,0,2011,Qatar,Arabic,2008,Lebanon,M,1,Belgium,50.503887,4.469936,F,0,Egypt,26.820553,30.802498,Novel,328,,Translator Bio,N,0,-,-,-,0,-,0,-,0,-,0,0,Longlisted for the International Prize for Arabic Fiction (2009),-
A Balcony Over the Fakihani ,"Badr, Liana",36993851,"Clark, Peter & Tingley, Christopher","108191551, 61676886",Interlink,N,0,Y,1,1993,USA,Arabic,1983,Lebanon,F,0,Palestine,31.952162,35.233154,"M, M",1,"UAE, UK",25.3250773,55.5026636,Novella,127,,"Translator's Acknowledgements,   Translator's Note",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
A Compass for the Sunflower,"Badr, Liana",36993851,"Cobham, Catherine ",24756669,The Women's Press,N,0,Y,1,1989,UK,Arabic,1979,Lebanon,F,0,Palestine,31.952162,35.233154,F,0,UK,55.378051,-3.435973,Novel,119,,"Introduction,   Glossary,   Dedication,   Author Bio,   Introduction,  Author Bio,   Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Eye of the Mirror,"Badr, Liana",36993851,"Kawar, Samira ",31897185,Garnet,N,0,Y,1,1994,UK,Arabic,1991,Morocco,F,0,Palestine,31.952162,35.233154,F,0,UK,55.378051,-3.435973,Novel,264,,"Contents Page,   Introduction,   Translator Bio",Y,1,38,"Historical Lebanese/Palestinian figures/groups (Ahrar, PLO, etc), amti, arak, culpac, Hajjeh, khalti, khanfeh, Khawajah","hajjeh, ",1,"arak, knafeh, kubbeh, labaneh, ma'moul, mezza, mujaddarah, muloukhiyah",1,culpac,1,"amti, arghoul, dastour, haganah, khalti, khawajah, mijwez, sha'rawiya, ustath, yaba, yamma",1,1,-,-
Voices of Change: Short Stories by Saudi Arabian Women Writers,"Bagader, Abubaker and Heinrichsdorff, Ava M. and Akers, Deborah S. (editors and translators); misc. authors",54304494,"Bagader, Abubaker & Heinrichsdorff, Ava M. & Akers, Deborah S. & Al-Sebail, Abdul-Aziz","54304494, 71549832, 118672308, 37071661",Lynne Rienner,N,0,Y,1,1998,USA,Arabic,Misc.,Misc.,F,0,Saudi Arabia,23.885942,45.079162,"M, F",-,"USA, Saudi Arabia",38.9013301,-77.2240457,Short stories,142,,"Dedication,   Contents Page,    Editor's preface,   Editor's Introduction,   Editor's Note,   Endnotes,   Glossary,   Author Bio,    About the Book",Y,1,43 (endnotes); 44 (glossary),"al-fatihah, Qoranic references, daily prayers, hajj, allah, hadith, 'id, ilhamdillah, inshallah, muezzin, saffron, fisfis, fitayer, abayah, thobe, dishdasha, ghutra, igal, marriage customs, household customs, gender customs, education, mahram, mashrabiyyat","al-fatihah, Qoranic references, daily prayers, hajj, allah, hadith, 'id, ilhamdillah, inshallah, muezzin",1,"saffron, fisfis, fitayer",1,"abayah, thobe, dishdasha, ghutra, igal",1,"marriage customs, household customs, gender customs, education, mahram, mashrabiyyat",1,0,-,-
The Golden Chariot,"Bakr, Salwa ",37058136,"Manisty, Dinah ",9745935,Garnet,N,0,Y,1,1995,UK,Arabic,1991,Egypt,F,0,Egypt,26.820553,30.802498,F,0,UK,55.378051,-3.435973,Novel,191,,Translator's Note,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Golden Chariot,"Bakr, Salwa ",37058136,"Manisty, Dinah ",9745935,AUC,Y,1,Y,1,2008,Egypt,Arabic,1991,Egypt,F,0,Egypt,26.820553,30.802498,F,0,UK,55.378051,-3.435973,Novel,191,,"Translator's Acknowledgements,   Preface,   Sources Page,   Glossary,   Quotation,    Coptic Miths and their Gregorian Equivalents",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Man from Bashmour,"Bakr, Salwa ",37058136,"Roberts, Nancy ",47001671,AUC,Y,1,Y,1,2007,Egypt,Arabic,1998,Egypt,F,0,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,297,,"Introduction,   Translator's Note,   Author Bio,   Translator Bio",Y,1,96,"am'at, arianism, basta, dalnis, dummaz, faludhaj, haydar, kardah, mizhar, nida, qandil, sekanjabin, tahouti, whiba, zawiya, zirbaj","dawsa, indimansi, majdhub, qarun, subhan allah, tarawih prayers, tharid, zawiya",1,"faludhaj, fuqqa', kammuniya, khashkananj, kishk, ma'muniya, nida, qandil, safidhabaja, sekanjabin, zirbaj",1,"abaya, jubba",1,"am'at, anubis, ardab, dalnis, dinar, dummaz, feddan, isba', jizya, kemet, kharaj, mizhar, mizmar, qanun, rebab, tannour, tunbur, uqiya",1,1,-,Commendation - 2008 Banipal Prize 
The Crane,"Barakat, Halim ",36939376,"Frangieh, Bassam & Allen, Roger ","28219068, 22256175",AUC,Y,1,Y,1,2008,Egypt,Arabic,1988,Egypt,M,1,USA,37.09024,-95.712891,"M, M",1,"USA, USA",37.09024,-95.712891,Novel,147,,"Contents Page,   Image,   Poem,   Introduction,   Translator's Foreword",Y,1,30,"sura of the ant, arak, ful, hummus, kibbeh, kishik, malban, mezze, mujadara, mutabala, shanklish, tabouleh, sirwal, ataba, dabka, dal'una, jinns, ma'anna, mankala, mijana, nay, oud, al-Salaamu 'alaykum, zajal",sura of the ant,1,"arak, ful, hummus, kibbeh, kishik, malban, mezze, mujadara, mutabala, shanklish, tabouleh",1,sirwal,1,"ataba, dabka, dal'una, jinns, ma'anna, mankala, mijana, nay, oud, al-Salaamu 'alaykum, zajal",1,1,-,-
Six Days,"Barakat, Halim ",36939376,"Frangieh, Bassam & McGehee, Scott ","28219068, 56817597",Three Continents,N,0,N,,1990,USA,Arabic,1961,Syria,M,1,USA,37.09024,-95.712891,"M,M",1,"USA, USA",37.09024,-95.712891,Novel,120,,"Contents Page,   Dedication,   Translator's Afterword",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Days of Dust,"Barakat, Halim ",36939376,"Le Gassick, Trevor",66476267,Three Continents,N,0,N,0,1992,USA,Arabic,1969,Lebanon,M,1,USA,37.09024,-95.712891,M,1,USA,37.09024,-95.712891,Novel,179,,"Contents Page,   Translator's Preface,   Author Bio",Y (Notes),1,19,Notes in introduction are references and explanations,-,0,-,0,-,0,-,0,0,-,-
The Stone of Laughter,"Barakat, Hoda",39364872,"Bennett, Sophie ",92938084,Interlink,N,0,N,0,1995,USA,Arabic,1990,Lebanon,F,0,France,46.227638,2.213749,F,0,UK,55.378051,-3.435973,Novel,209,,"Quotation,   Author's Acknowledgements",Y  (Notes),1,3,Notes in introduction are references of other books,-,0,-,0,-,0,-,0,0,Al-Naqid Prize,-
The Tiller of Waters,"Barakat, Hoda",39364872,"Booth, Marilyn ",14901543,AUC,Y,1,N,0,2001,Egypt,Arabic,1998,Lebanon,F,0,France,46.227638,2.213749,F,0,USA,37.09024,-95.712891,Novel,175,,"Contents Page,   Author and Translator Bio,   Epilogue",N,0,-,-,-,0,-,0,-,0,-,0,0,Naguib Mahfouz Prize,-
Disciples of Passion,"Barakat, Hoda",39364872,"Booth, Marilyn ",14901543,Syracuse University Press,Y,1,Y,1,2005,USA,Arabic,1993,Lebanon,F,0,France,46.227638,2.213749,F,0,USA,37.09024,-95.712891,Novel,136,,"Introduction,   Epilogue",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
"Oh, Salaam!","Barakat, Najwa",49339011,"Leafgren, Luke ",310615333,Interlink,N,0,Y,1,2014,USA,Arabic,1999,Lebanon,F,0,France,46.227638,2.213749,M,1,USA,37.09024,-95.712891,Novel,201,,Translator's Note,N,0,1,Yaa salaam,-,0,-,0,-,0,ya salaam,1,0,-,-
"I Was Born There, I Was Born Here","Barghouti, Mourid",37071425,"Davies, Humphrey",228562256,Walker & Company,N,0,N,0,2011,USA,Arabic,2009,Lebanon,M,1,Palestine,31.952162,35.233154,M,1,UK,55.378051,-3.435973,Novel,214,,"Contents Page,   Foreword",Y,1,12,"Hanthala, khamasin, the muqata'a, musakhan, the nakba, sandawitshat, shata'ir",-,0,"kanafeh, musakhan, sandawitshat, shata'ir",1,kufiya,1,"khamasin, rababa",1,0,-,-
I Saw Ramallah,"Barghouti, Mourid",37071425,"Soueif, Ahdaf",7550479,AUC,Y,1,Y,1,2000,Egypt,Arabic,1997,Egypt,M,1,Palestine,31.952162,35.233154,F,0,UK,55.378051,-3.435973,Memoir,182,,"Dedication,   Quotation,   Contents Page,   Foreword",Y,1,23,"al-Manfaluti, Fayruz, khala, kunafa, Mahmoud Darwish, qatayef, bismillah, hajja, khawaja, kufiya","bismillah, hajja",1,"kunafa, qatayef",1,kufiya,1,"dabka, khawaja",1,1,1997 Naguib Mahfouz Medal for Literature,-
I Saw Ramallah,"Barghouti, Mourid",37071425,"Soueif, Ahdaf",7550479,Anchor,N,0,Y,1,2003,USA,Arabic,1997,Egypt,M,1,Palestine,31.952162,35.233154,F,0,UK,55.378051,-3.435973,Memoir,182,,"Contents Page,   Foreword,   Glossary",Y,1,23,"al-Manfaluti, Fayruz, khala, kunafa, Mahmoud Darwish, qatayef, bismillah, hajja, khawaja, kufiya","bismillah, hajja",1,"kunafa, qatayef",1,kufiya,1,"dabka, khawaja",1,1,1997 Naguib Mahfouz Medal for Literature,-
Professor Hanaa,"Bassiouney, Reem",19965762,"Helmi, Laila ",252545183,Garnet,N,0,N,0,2011,UK,Arabic,2008,Egypt,F,0,Egypt,26.820553,30.802498,F,0,Lebanon,33.854721,35.862285,Novel,187,,"Dedication,   Quotation,   Author's Note",N,0,-,-,-,0,-,0,-,0,-,0,0,Sawiris Literary Award,-
Mortal Designs,"Bassiouney, Reem",19965762,"Magidow, Melanie ",2174145856998222920639,AUC,Y,1,Y,1,2016,Egypt,Arabic,2010,Lebanon,F,0,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,235,,"Dedication,   Quotation,   Contents Page,   Author's Acknowledgements,   Author's Note",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Pistachio Seller,"Bassiouney, Reem",19965762,"Nusairi, Osman",16952456,Syracuse University Press,Y,1,Y,1,2009,USA,Arabic,2006,Egypt,F,0,Egypt,26.820553,30.802498,M,1,UK,55.378051,-3.435973,Novel,157,,"Quotation,   Dedication,   Author Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,Arkansas Arabic Translation Award (2009)
The Game of Forgetting,"Berrada, Mohamed",98522437,"Boullatta, Issa J.  ",272292988,UT Austin,Y,1,Y,1,1996,USA,Arabic,1987,Morocco ,M,1,Morocco,31.791702,-7.09262,M,1,Canada,56.130366,-106.346771,Novel,128,,"Dedication,   Author's Note,   Translator's Note",Y (Notes),1,-,Notes in introduction are references and explanations,-,0,-,0,-,0,-,0,0,-,-
Fugitive Light,"Berrada, Mohamed",98522437,"Boullatta, Issa J.  ",272292988,Syracuse University Press,Y,1,Y,1,2002,USA,Arabic,1993,Morocco ,M,1,Morocco,31.791702,-7.09262,M,1,Canada,56.130366,-106.346771,Novel,171,,"Dedication,  Quotations,   Foreword,   Author's Note",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Like a Summer Never to Be Repeated,"Berrada, Mohamed",98522437,"Phillips, Christina",21963312,AUC,Y,1,Y,1,2009,Egypt,Arabic,1999,Egypt,M,1,Morocco,31.791702,-7.09262,F,0,UK,55.378051,-3.435973,Novel,172,,"Dedication,  Quotations,   Translator's Introduction",Y,1,23,"Abdullah Nadim, futuwwa, harafish, ifreet, milaya, qanun, salep, umma, gallabiya, fuul, karkadeh, koshari, eid al-adha",eid al-adha,1,"fuul, karkadeh, koshari, salep",1,"gallabiya, milaya",1,"harafish, futuwwa, ifreet, umma",1,1,-,-
Blood Test,"Beydoun, Abbas",2624943,"Weiss, Max ",107347284,Syracuse University Press,Y,1,Y,1,2008,USA,Arabic,2002,Lebanon,M,1,Lebanon,33.854721,35.862285,M,1,USA,37.09024,-95.712891,Novel,121,,"Author Bio,   Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,King Fahd Center for Middle East & Islamic Studies: Translation of Arabic Literature 2007 Award Winner 
The House of Power,"Bindari, Sami",72678837,"Bindari, Sami & St. Leger, Mona","72678837, 109146331907318691904",Houghton Mifflin,N,0,N,0,1980,USA,Arabic,1971,Egypt,M,1,Lebanon,33.854721,35.862285,"M, F",-,Lebanon,33.854721,35.862285,Novel,214,,Publisher's Note,N,0,-,-,-,0,-,0,-,0,-,0,0,"Winner, Pegasus International Prize for Literature, 1978 (funded by Mobil Oil)",-
The Sheltered Quarter: A Tale of a Boyhood in Mecca,"Bogary, Hamza",43489031,"Kenny, Olive & Reed, Jeremy ","46873607, 92441683",UT Austin,Y,1,Y,1,1991,USA,Arabic,1983,Saudi Arabia,M,1,Saudi Arabia,23.885942,45.079162,"F,M",-,Canada,56.130366,-106.346771,Novel,104,,"Contents Page,   Author Bio,   Foreword,   Acknowledgements,   Introduction",Y + Notes,1,3 (Endnotes of introduction); 61 (Endnotes of Book); 50 (glossary entries),"Notes in introduction are references and explanations; Endnote Entries- arafa day, ba and ta, al-duhul, shangeeti, al-milal wa'l-nihal, quraish; Glossary Entries- 'afareet, halala, al-hareera, ma'sub, 'areeka, dibyaza, raushan, sufi, umra, zar","afareet, faqeeha, al-fatiha, hajj, haram, hawqala, jinn",1,"areeka, batasa, dibyaza, al-hareera, ",1,"igal, jubba",1,"amm, bazan, diwan, halala",1,1,-,-
Flesh and the Devil,"Boof, Kola",233531028,"Musa, Said",52939338,Door of Kush,N,0,Y,1,2004,USA,Arabic,1995,Morocco,F,0,USA,37.09024,-95.712891,M,1,USA,37.09024,-95.712891,Novel,339,,"Dedication,   Acknowledgements,   Afterword,   Poems",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
My Grandmother's Cactus: Stories by Egyptian Women,"Booth, Marilyn (compiler/translator), collection includes Radwa Ashour, Salwa Bakr, Seham Bayomi, Neamat al-Biheiri, Etidal Osman, Mona Ragab, Ibtihal Salem, Sahar Tawfiq",14901543,"Booth, Marilyn",14901543,Quartet,N,0,Y,1,1991,UK,Arabic,Misc.,Misc.,F,0,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Short stories,148,,"Contents Page,   Preface,  Acknowledgements,   Author Bio,   Glossary,   Introduction,   Notes",Y + Notes,1,4 (glossary); 60 (notes),"dumyana, foul, mulukhiyya, niqab, amm, effendi, khala, sitti, darrasa, firman, rami, suna, dayra, Tahrir Square",dumyana,1,"foul, mulukhiyya",1,niqab,1,"amm, effendi, khala, sitti, darrasa, firman, rami, suna, dayra, Tahrir Square",1,0,-,-
Five Eyes,"Bowles, Paul (compiler/translator); Boulaich, Abdeslam, Mohamed Choukri, Larbi Layachi, Mohammed Mrabet, Ahmed Yacoubi",112464042,"Bowles, Paul ",112464042,Black Sparrow,N,0,Y,1,1979,USA,Arabic,Misc.,Misc.,M,1,"Morocco, USA",40.9461457,-87.4533626,M,1,Morocco,31.791702,-7.09262,Short stories,133,,"Translator's Acknowledgements,   Contents Page,   Translator Bio,   Image,   Author and Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Code Name: Butterfly,"Bsharat, Ahlam",-,"Roberts, Nancy",47001671,Neem Tree,N,0,N,0,2016,UK,Arabic,2009,Palestine,F,0,Palestine,31.952162,35.233154,F,0,USA,37.09024,-95.712891,Novel,90,,"Author Bio,   Award Information,   Dedication,   Contents Page,   Glossary",Y,1,17,"Abu Ammar, Eid al Adha, Eid al Fitr, hajja, Sunnah, harisa, turmus, thobe, Al Jawwal, intifada, martyr, Shami and Maghrebi, Six Day War","Eid al Adha, Eid al Fitr, hajja, Sunnah",1,"harisa, turmus",1,thobe,1,"Al Jawwal, intifada, martyr, Shami and Maghrebi, Six Day War",1,1,IBBY Honor List 2012,-
Chewing Gum,"Bushnaf, Mansour",314872142,"Zaki, Mona ",95046474,Darf,N,0,N,0,2014,UK,Arabic,2008,Egypt,M,1,Libya,26.3351,17.228331,F,0,USA,37.09024,-95.712891,Novel,123,,Author Bio,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
A Life Full of Holes,"Charhadi, Driss ben Hamed",95170015,"Bowles, Paul ",112464042,Harper Perennial ,N,0,Y,1,2008,USA,Arabic,1982,Morocco,M,1,Morocco,31.791702,-7.09262,M,1,Morocco,31.791702,-7.09262,Novel,295,,"Quotation,   Contents Page,   Foreword,   Translator's Introduction,   Author and Translator Bio,    About the Book,   Short Story,    Have you read? More by Paul Bowles",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Jean Genet in Tangier,"Choukri, Mohamed",114270495,"Bowles, Paul",112464042,Ecco Pr,N,0,Y,1,1974,USA,Arabic,-,-,M,1,Morocco,31.791702,-7.09262,M,1,Morocco,31.791702,-7.09262,Novel,74,,"Foreword,   Images,   Afterword,   Author and Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Tennessee Williams in Tangier,"Choukri, Mohamed",114270495,"Bowles, Paul",112464042,Cadmus Editions,N,0,Y,1,1979,USA,Arabic,-,-,M,1,Morocoo,31.791702,-7.09262,M,1,Morocco,31.791702,-7.09262,Novel,71,,"Image,   Foreword,   Note,   Author and Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
For Bread Alone,"Choukri, Mohamed ",114270495,"Bowles, Paul",112464042,City Lights,N,0,Y,1,1987,USA,Arabic,1973,UK,M,1,Morocco,31.791702,-7.09262,M,1,Morocco,31.791702,-7.09262,Novel,144,,"Contents Page,   Footnotes,   Glossary",Y,1,25,"aaita, dfin, harira, mahia, maricon, sala, sebsi, taifor, tajine, zib","fjer, surah, tolba",1,"harira, limonada, mahia, tajine, tapas",1,"dfin, djellaba, zigdoun",1,"aaita, baqal, hammam, maricon, qahouaji, zib",1,0,-,-
Streetwise,"Choukri, Mohamed ",114270495,"Emery, Ed ",232393010,Saqi Books,N,0,Y,1,1996,UK,Arabic,1992,Lebanon,M,1,Morocco,31.791702,-7.09262,M,1,UK,55.378051,-3.435973,Novel,156,,"Translator's Introduction,   Glossary",Y+ Notes,1,7,"carajol, kif, majoun, shaqfa, taifor",-,0,carajol,1,djellaba,1,"kif, majoun, sabi, shaqfa, taifor",1,0,-,-
Limbo Beirut,"Chouman, Hilal",283542802,"Ziajka Stanton, Anna",109147662852660550687,UT Austin,Y,1,Y,1,2016,USA,Arabic,2013,Egypt,M,1,UAE,23.424076,53.847818,F,0,USA,37.09024,-95.712891,Novel,214,,"Dedication,   Translator's Note,   Author's Acknowledgements",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Always Coca-Cola,"Chreiteh, Alexandra",171992881,"Hartman, Michelle ",61797730,Interlink,N,0,Y,1,2012,USA,Arabic,2009,Lebanon,F,0,Lebanon,33.854721,35.862285,F,0,Canada,56.130366,-106.346771,Novel,121,,Translator's Acknowledgements,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
